"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"484","Spondylosis","Spondylosis is degenerative osteoarthritis of the spine. In the neck it is called cervical spondylosis and in the lower back it is called lumbar spondylosis. It is most often age related but can occur following spinal surgery or injury to the vertebral column of the spine.","Pain;Fatigue;Insomnia;Depressed mood;Anxious mood","Clonazepam;Tramadol;Diclofenac;
more
;Ibuprofen;Oxycodone;
more
;Amitriptyline;Citalopram;Gabapentin;Meloxicam;Naproxen Prescription;
more
","<20;1;20s;15;30s;38;40s;138;50s;193;60s;98;70+;28","Female=86%;Male=14%",484
"485","Empty sella syndrome","The pituitary gland is a small gland located at the base of the brain in a space called 'sella turcica'. When the pituitary gland shrinks or flattens due to filling with spinal fluid it gives the appearance of being empty. This is referred to as empty sella syndrome.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Acetaminophen (Paracetamol);Clonazepam;Gabapentin;Hydrocodone-Acetaminophen;Ibuprofen Prescription;Massage Therapy;Melatonin;Nortriptyline;Oxycodone-acetaminophen;Pain management","<20;0;20s;2;30s;13;40s;24;50s;19;60s;3;70+;2","Female=83%;Male=17%",485
"486","Growth hormone deficiency","Growth Hormone Deficiency (GHD) is a medical condition in which the body does not produce enough growth hormone (GH). Growth hormone, also called somatotropin, is a polypeptide hormone which stimulates growth and cell reproduction.","Fatigue;Depressed mood;Pain;Anxious mood;Insomnia","Human Growth Hormone;Modafinil;
more
;Desvenlafaxine;Ibuprofen;Naltrexone;Neuromuscular Electrical Stimulation;Tramadol;Vitamin D;Vitamin D3 (cholecalciferol)","<20;18;20s;17;30s;12;40s;14;50s;13;60s;4;70+;2","Female=59%;Male=41%",486
"487","Luteinizing hormone deficiency","Luteinizing hormone (LH) is a hormone produced by the anterior pituitary gland. In women a rise in LH trigger ovulation; in men LH (also called interstitial cell-stimulating hormone) it stimulates production of testosterone. Hormone replacement therapy is gender specific.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Diazepam","<20;0;20s;1;30s;0;40s;3;50s;2;60s;3;70+;0","Female=33%;Male=67%",487
"488","Follicle stimulating hormone deficiency","Follicle-stimulating hormone (FSH) is a hormone that is synthesized and secreted by gonadotrophs of the anterior pituitary gland. FSH regulates the development, growth, pubertal maturation, and reproductive processes of the body.","Depressed mood;Fatigue;Pain;Anxious mood;Insomnia","Codeine;Diazepam;Ibuprofen;Naproxen Prescription","<20;0;20s;3;30s;1;40s;2;50s;1;60s;2;70+;1","Female=80%;Male=20%",488
"489","Adrenocorticotropic hormone deficiency","Adrenocorticotropic hormone (ACTH), also known as 'corticotropin', is the hormone necessary to stimulate the adrenal gland to produce its hormones, cortisol and adrenal androgens, especially in times of stress.","Fatigue;Anxious mood;Pain;Depressed mood;Insomnia","Hydrocortisone;Cyclobenzaprine","<20;0;20s;1;30s;1;40s;5;50s;6;60s;4;70+;0","Female=94%;Male=6%",489
"490","Prolactin deficiency","Prolactin, also known as luteotropic hormone, is a pituitary hormone that stimulates lactation (milk production). It also has many other functions, including essential roles in the maintenance of the immune system.","Depressed mood;Fatigue;Pain;Anxious mood;Insomnia","","<20;0;20s;0;30s;1;40s;2;50s;2;60s;1;70+;0","Female=67%;Male=33%",490
"491","Radiculopathy","Radiculopathies, also known as nerve root disorders, is any disease of the spinal nerve roots and spinal nerves. They can result in pain, numbness in the area of skin that is mainly supplied by the affected spinal nerve and and weakness of muscles stimulated by the affected nerve root.","Pain;Fatigue;Insomnia;Depressed mood;Anxious mood","Amitriptyline;Hydrocodone-Acetaminophen;Tramadol;Gabapentin;Nortriptyline;Pregabalin;
more
;Sertraline;Alprazolam;Cyclobenzaprine;Diazepam","<20;0;20s;7;30s;11;40s;59;50s;37;60s;20;70+;4","Female=78%;Male=22%",491
"492","Atopic dermatitis","Atopic dermatitis is an inflammatory skin condition characterized by dry, itchy skin. It usually follows a chronic relapsing course. Atopic dermatitis can affect all age groups, but it is most commonly diagnosed before 5 years of age and affects 10% to 20% of children.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Hydrocortisone topical;Clonazepam;
more
;Tramadol;Chiropractic Therapy;Cyclobenzaprine;Acupuncture;Buspirone;
more
;Deep breathing and relaxation;Duloxetine;Melatonin","<20;19;20s;74;30s;114;40s;66;50s;51;60s;18;70+;7","Female=61%;Male=39%",492
"493","Hereditary spastic paraplegia","Hereditary Spastic Paraplegia is not a single disease but a group of genetic disorders in which the main feature is progressive spasticity in the lower limbs due to pyramidal tract dysfunction. Onset can be at any age, from the first year of life to old age, depending on the specific genetic form.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Baclofen;Citalopram;Clonazepam;Diazepam;Pregabalin;Tizanidine;Eszopiclone;Ibuprofen;Medical marijuana;Meditation","<20;5;20s;12;30s;20;40s;32;50s;51;60s;31;70+;14","Female=62%;Male=38%",493
"494","Herpes simplex virus infection","Herpes simplex is a virus that is categorized by location. Non-oral and non-genital herpes include disorders such as herpetic whitlow (fingers), herpes gladiatorum (face, ears), ocular herpes (eyes), cerebral herpes infection encephalitis, Mollaret's meningitis, neonatal herpes.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Valacyclovir;Amitriptyline;Acyclovir;Bupropion;Hydrocodone-Acetaminophen;Lidocaine;Mindfulness;Oxycodone;Propranolol;Trazodone","<20;2;20s;15;30s;32;40s;41;50s;26;60s;17;70+;4","Female=82%;Male=18%",494
"495","Atherosclerosis","Atherosclerosis, also called arteriosclerosis, is a vascular disorder characterized by thickening and hardening of the walls of the arteries with plaque.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Aspirin;Clonazepam;Atorvastatin;Diclofenac;Ibuprofen;Pravastatin;Ticagrelor;Vitamin B12 Injection;Zolpidem","<20;0;20s;1;30s;6;40s;17;50s;27;60s;33;70+;17","Female=50%;Male=50%",495
"496","Rocky mountain spotted fever","Rocky Mountain spotted fever (RMSF) is a tickborne disease caused by the bacterium known as Rickettsia rickettsii. It is the most common rickettsial infection in North America and the most commonly fatal tick borne infection in the US.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Diazepam;Hydrocodone-Acetaminophen;Hydromorphone;Tramadol","<20;0;20s;8;30s;8;40s;8;50s;9;60s;3;70+;0","Female=71%;Male=29%",496
"497","Stroke","Cerebrovascular accident refers to the injury to the brain that occurs when flow of blood to brain tissue is interrupted by a clogged or ruptured artery, causing brain tissue to die because of lack of nutrients and oxygen.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Sertraline;Aspirin;Hydrocodone-Acetaminophen;Trazodone;
more
;Oxycodone-acetaminophen;Tramadol;
more
;Duloxetine;
more
;Escitalopram;Hydroxyzine;Ibuprofen","<20;7;20s;29;30s;79;40s;176;50s;257;60s;183;70+;75","Female=69%;Male=31%",497
"498","Sinus infection (sinusitis)","Sinus infection, also known as sinusitis, inflammation of the sinuses and nasal passages as a result of infection with bacterial, fungal, or viral pathogens.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Amoxicillin;
more
;Gabapentin;
more
;Amoxicillin-clavulanate;
more
;Pregabalin;
more
;Tramadol;
more
;Clonazepam;
more
;Hydrocodone-Acetaminophen;
more
;Ibuprofen;
more
;Trazodone;Melatonin;
more
","<20;9;20s;101;30s;189;40s;261;50s;206;60s;117;70+;28","Female=78%;Male=22%",498
"499","Lung nodules","A pulmonary nodule is a small, roundish growth on the lung, sometimes called a spot on the lung. Follow up and evaluation of lung nodules focuses on determining whether a pulmonary nodule is cancerous or benign.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","CT Scan (computerized tomography scan);Meloxicam;Acupuncture;Albuterol;Aripiprazole;Aromatherapy;Bevacizumab;Buspirone;Cannabidiol;Cannabis","<20;1;20s;0;30s;6;40s;24;50s;36;60s;47;70+;8","Female=83%;Male=17%",499
"500","Developmental venous anomaly","Developmental venous anomalies, also known as venous angiomas or venous malformations, are a form of vascular malformations of the brain. Although the formation is abnormal, the veins are still able to drain blood from the brain properly.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","MRI (magnetic resonance imaging)","<20;0;20s;1;30s;3;40s;2;50s;1;60s;1;70+;0","Female=88%;Male=13%",500
"501","Torn meniscus of knee","There are two menisci in the knee, one on the inside (medial meniscus) and the on the outside (lateral meniscus). The most common causes for the meniscus to tear are traumatic injury (often seen in athletes) and degenerative processes.","Pain;Fatigue;Anxious mood;Depressed mood;Insomnia","Knee arthroscopy;
more
;Ice or Cold Packs;Tramadol;
more
;Diclofenac;Acetaminophen (Paracetamol);Gabapentin;
more
;Amitriptyline;
more
;Naproxen Prescription;Pregabalin;
more
;Oxycodone","<20;3;20s;14;30s;41;40s;89;50s;136;60s;97;70+;25","Female=67%;Male=33%",501
"502","Cerebral palsy","Cerebral palsy is a group of nonprogressive disorders that affect a person's ability to move and to maintain balance and posture. It occurs when the areas of the brain that control movement and posture do not develop correctly or get damaged. The disorders appear in the first few years of life.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Physical Therapy;Lorazepam;Alcohol;Baclofen;Chiropractic Therapy;Citalopram;Clonazepam;Diazepam;Escitalopram;Gabapentin","<20;40;20s;44;30s;44;40s;42;50s;26;60s;6;70+;0","Female=64%;Male=36%",502
"503","Lumbosacral radiculopathy","Lumbosacral radiculopathy results from inflammation and/or impingement of the nerve roots in the area of the lumbar and sacral vertebrae region, frequently referred to as L5-S1 radiculopathy indicating that the 5th lumbar nerve root and the 1st sacral nerve root are affected.","Pain;Fatigue;Insomnia;Depressed mood;Anxious mood","Gabapentin;
more
;Trazodone;Diclofenac;Tramadol;
more
;Venlafaxine;
more
;Clonazepam;Hydrocodone ER;Melatonin;Oxycodone;Physical Therapy","<20;0;20s;5;30s;7;40s;41;50s;51;60s;23;70+;2","Female=84%;Male=16%",503
"504","Vulvodynia","Vulvodynia is a complex pain syndrome with unknown etiology, characterized by constant or intermittent generalized vulvar pain or localized burning sensations in the vestibule area when pressure is applied. Treatment is directed towards alleviating symptoms","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Amitriptyline;Duloxetine;
more
;Lidocaine topical;Nortriptyline;
more
;Tramadol;Acetaminophen (Paracetamol);Buspirone;Clonazepam;Diazepam;Gabapentin","<20;3;20s;17;30s;37;40s;28;50s;19;60s;18;70+;3","Female=99%;Male=1%",504
"505","Deep vein thrombosis","Deep vein thrombosis (DVT) is the development of a blood clot in a major deep vein in the leg, thigh, pelvis, or abdomen. The blockage of venous blood flow generally causes swelling and pain in the affected area.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Warfarin;
more
;Rivaroxaban;
more
;Enoxaparin;
more
;Compression Stockings/Socks;
more
;Clonazepam;Hydrocodone-Acetaminophen;
more
;Pregabalin;
more
;Tramadol;Alprazolam;Heparin","<20;0;20s;24;30s;65;40s;131;50s;176;60s;104;70+;38","Female=71%;Male=29%",505
"506","Dacryocystitis","The lacrimal sac is a small chamber into which tears drain. The usual cause of dacryocystitis is a blockage of the nasolacrimal duct, which leads from the lacrimal sac into the nose. Dacryocystitis may occur suddenly (acute) or be longstanding (chronic).","Depressed mood;Insomnia;Fatigue;Pain;Anxious mood","","<20;0;20s;1;30s;1;40s;3;50s;1;60s;1;70+;0","Female=57%;Male=43%",506
"507","Uterine fibroids","Uterine fibroids are the most common benign tumors in females and typically found during the middle and later reproductive years. While most fibroids are asymptomatic, they can grow and cause heavy and painful menstruation, painful sexual intercourse, and urinary frequency and urgency.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Hysterectomy;
more
;Tramadol;Duloxetine;
more
;Gabapentin;Clonazepam;Naproxen Prescription;Hydrocodone-Acetaminophen;
more
;Amitriptyline;Oxycodone-acetaminophen;Trazodone;
more
","<20;1;20s;14;30s;96;40s;254;50s;184;60s;55;70+;9","Female=100%;Male=0%",507
"508","Central vertigo","Central vertigo is a type of dizziness, where there is a feeling of motion when one is stationary, that arises from the balance centers of the brain. It is usually milder than vertigo that arises from the inner ear and may be accompanied by neurologic symptoms such as slurred speech, double vision.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Codeine-acetaminophen (paracetamol);Amitriptyline;Gabapentin;Alprazolam;Bupropion;Clonazepam;Desvenlafaxine;Sertraline;Acupuncture;Amphetamine-Dextroamphetamine","<20;2;20s;11;30s;37;40s;73;50s;68;60s;38;70+;10","Female=83%;Male=17%",508
"509","Keratitis","Keratitis is a condition in which the eye's cornea, the front part of the eye, becomes inflamed. Keratitis has multiple causes including bacterial, fungal, or viral infections.  Keratitis may also develop in patients with autoimmune and chronic connective tissue diseases.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Cornea Transplant;Pregabalin;Sertraline;Tramadol","<20;1;20s;4;30s;5;40s;6;50s;6;60s;3;70+;0","Female=88%;Male=13%",509
"510","Aspiration pneumonia","Aspiration pneumonia is inflammation of the lungs and airways to the lungs (bronchial tubes) from breathing in foreign material. It commonly occurs in patients with altered mental status who have an impaired gag or swallowing reflex. Treatment is directed to the infectious agent or underlying cause.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Feeding Tube;
more
;Motorized scooter/chair;Alprazolam;Buspirone;Diphenhydramine;Hydrocodone-Acetaminophen;Hydrocodone ER;Levofloxacin;Lorazepam;Medical marijuana","<20;1;20s;2;30s;2;40s;13;50s;20;60s;15;70+;11","Female=59%;Male=41%",510
"511","Idiopathic anaphylaxis","Idiopathic anaphylaxis is a syndrome of anaphylaxis without any recognized external trigger. These patients present with the same symptoms as patients with other types of anaphylactic reaction. The attacks occur with variable frequency and can be life-threatening.","Pain;Fatigue;Insomnia;Anxious mood;Depressed mood","Tramadol;Acupuncture;Alprazolam;Aripiprazole;
more
;Banana;Biofeedback machine;Buspirone;
more
;Celecoxib;Cetirizine;Chiropractic Therapy","<20;2;20s;3;30s;5;40s;3;50s;2;60s;5;70+;2","Female=83%;Male=17%",511
"512","Body dysmorphic disorder","Body dysmorphic disorder is a condition in which the affected person is excessively concerned about and preoccupied by a perceived defect in his or her physical features or body image. It usually begins during adolescence and may be somewhat more common among women.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Clonazepam;
more
;Diazepam;Hydrocodone-Acetaminophen;
more
;Lorazepam;
more
;Tramadol;Acetaminophen (Paracetamol);Aloe Vera;Amitriptyline;Armodafinil;Aromatherapy","<20;2;20s;49;30s;39;40s;24;50s;23;60s;4;70+;5","Female=81%;Male=19%",512
"513","Idiopathic hypersomnia","Idiopathic Hypersomnia, also known as major somnolence disorder, is a sleep disorder characterized by excessive amounts of sleepiness for which there is no identifiable cause.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Modafinil;
more
;Methylphenidate;
more
;Amphetamine-Dextroamphetamine;
more
;Armodafinil;
more
;Duloxetine;Hydroxyzine;Diclofenac;Gabapentin;Lisdexamfetamine;Bupropion","<20;3;20s;32;30s;86;40s;78;50s;46;60s;19;70+;4","Female=82%;Male=18%",513
"514","Prune belly syndrome","Prune belly syndrome is a congenital disorder that involves poor development of the abdominal muscles, causing the skin of the belly area to wrinkle like a prune, undescended testicles (cryptorchidism) and urinary tract problems. It occurs primarily but not exclusively in males.","Anxious mood;Insomnia;Pain;Depressed mood;Fatigue","","<20;2;20s;0;30s;1;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",514
